
""" продукта";""" of the product"
Целевая аудитория...;***Целевая аудитория...
целевую аудиторию;***целевую аудиторию
целое;***целое
цена;***цена
цена по условию;***цена по условию
Ценообразование;***Ценообразование
Части дня (тест);***Части дня (тест)
Часть программы;***Часть программы
Четверг;***Четверг
чистая;***чистая
чистая стоимость;***чистая стоимость
Чт;***Чт
Чт 04.08.2005;***Чт 04.08.2005
чч : мин : сек;***чч : мин : сек
чч/мм/сс;***чч/мм/сс
чч:мм:сс;***чч:мм:сс
Шаг;***Шаг
шифр;***шифр
Шифрование;***Шифрование
Шифрование данных;***Шифрование данных
Шкала времени;***Шкала времени
Шрифт;***Шрифт
экон.;***экон.
эконом заказ;***эконом заказ
Экспорт;***Экспорт
Экспорт в ListBox;***Экспорт в ListBox
Экспорт в Excel;***Экспорт в Excel
Экспорт в XLS;***Экспорт в XLS
Экспорт выделеных в Excel;***Экспорт выделеных в Excel
Экспорт на видео сервер;***Экспорт на видео сервер
экспортировать записи с пустыми путями;***экспортировать записи с пустыми путями
Экспортировать передачи без блоков;***Экспортировать передачи без блоков
экспортировать цвет события;***экспортировать цвет события
Экстра позиция;***Экстра позиция
Эти параметры будут присваиваться каждому создаваемому по клиенту заказу;***Эти параметры будут присваиваться каждому создаваемому по клиенту заказу
Эфир;***Эфир
юридическое лицо;***юридическое лицо
Язык;***Язык
Языки;***Языки
янв;***янв
Январь;***Январь
Єто не json файл;***Єто не json файл
№ заказа;***№ заказа
, длительность-;, duration-
, загружена и готова к установке. Установить?;, exported and ready to install. Would you like to install it?
, от:;, from:
, с коррекцией значения длительности;, With the editing of the duration value
, с коррекцией значения времени начала;, With the editing of the start time value
#ИМЯ?;#ИМЯ?
->;->
. Щелкните по иконке, чтобы прервать скачивание...;. Click on the icon to stop the download...
. Продолжить!?;. Do you want to continue!?
. Загрузить ее?;. Do you want to download it?
. Прервать процесс?;. Do you want to interrupt the process?
..\shared\Templates\BlockDurationInfo.xls;..\shared\Templates\BlockDurationInfo.xls
..\shared\Templates\breakcost.xls;..\shared\Templates\breakcost.xls
..\Shared\Templates\channelsPlacements.xls;..\Shared\Templates\channelsPlacements.xls
..\Shared\Templates\costbyClients.xls;..\Shared\Templates\costbyClients.xls
..\Shared\Templates\costbyClientsOrders.xls;..\Shared\Templates\costbyClientsOrders.xls
..\Shared\Templates\CostByProgramm.xls;..\Shared\Templates\CostByProgramm.xls
..\shared\Templates\finalCalculation.xls;..\shared\Templates\finalCalculation.xls
..\shared\Templates\flTVGenreGrid.xls;..\shared\Templates\flTVGenreGrid.xls
..\shared\Templates\flTVGridProgBreaks.xls;..\shared\Templates\flTVGridProgBreaks.xls
..\shared\Templates\flTVGridWeekPreview.xls;..\shared\Templates\flTVGridWeekPreview.xls
..\shared\Templates\flTVGridWord;..\shared\Templates\flTVGridWord
..\shared\Templates\gfkDataTo1C.xls;..\shared\Templates\gfkDataTo1C.xls
..\shared\Templates\gfkDataToOnAir.xls;..\shared\Templates\gfkDataToOnAir.xls
..\shared\Templates\gridbyday2.xls;..\shared\Templates\gridbyday2.xls
..\shared\Templates\mountgrid.xls;..\shared\Templates\mountgrid.xls
..\shared\Templates\mountGrid7.xls;..\shared\Templates\mountGrid7.xls
..\Shared\Templates\mountgrid_3.xls;..\Shared\Templates\mountgrid_3.xls
..\shared\Templates\mountgrid_4.xls;..\shared\Templates\mountgrid_4.xls
..\shared\Templates\mountgrid_georgia.xls;..\shared\Templates\mountgrid_georgia.xls
..\shared\Templates\mountgrid_MTV.xls;..\shared\Templates\mountgrid_MTV.xls
..\Shared\Templates\mountgrid_ut.xls;..\Shared\Templates\mountgrid_ut.xls
..\Shared\Templates\MountGridOld.xls;..\Shared\Templates\MountGridOld.xls
..\Shared\Templates\orderPlacementCost.xls;..\Shared\Templates\orderPlacementCost.xls
..\shared\Templates\plannerView.xls;..\shared\Templates\plannerView.xls
..\shared\Templates\reportChPlacements.xls;..\shared\Templates\reportChPlacements.xls
..\shared\Templates\reportCostOrder.xls;..\shared\Templates\reportCostOrder.xls
..\shared\Templates\reportCostOrder_v2.xls;..\shared\Templates\reportCostOrder_v2.xls
..\shared\Templates\reportListVideoEvents.xls;..\shared\Templates\reportListVideoEvents.xls
..\shared\Templates\reportWorkJournal.xls;..\shared\Templates\reportWorkJournal.xls
..\shared\Templates\SalePlanRealization.xls;..\shared\Templates\SalePlanRealization.xls
..\shared\Templates\slotTime.xls;..\shared\Templates\slotTime.xls
..\shared\Templates\slotTimeAnalyst.xls;..\shared\Templates\slotTimeAnalyst.xls
..\Shared\Templates\SOT.xls;..\Shared\Templates\SOT.xls
..\shared\Templates\spotSales.xls;..\shared\Templates\spotSales.xls
;
Будет добавлена новая скидка/надбавка;A new discount/extra charge will be added
Новая сессия с адреса %s;A new session has started from the following address %s
Доступные скидки;Accessible discounts
Доступные надбавки;Accessible premiums
Рассчет;Accounting
Активировать;Activate
включить режим форматирования;activate the formation mode
AD Description;AD Description
Добавить выход;Add a showing
Добавить ролик для кассеты №;Add clip to the cassette №
Добавить файл;Add file
добавлен;added
добавлен плейлист с номером;added playlist number
Осуществить выравнивание вставками;adjust breaks
Рекламодатель;Advertiser
после;after
после-скидка;after-discount
после-надбавка;after-premium
все;all
Все внесенные со времени последнего сохранения изменения будут утеряны!;All changes since the last saving will be lost!
Все программы в этом дне будут удалены. Продолжить!?;All programs of this day will be deleted. Do you want to continue!?
Все выделенные вставки будут удалены! Согласны?;All selected breaks will be deleted! Are you sure you want to continue?
Все выделенные телепрограммы/вставки будут удалены! Согласны?;All selected TV programs will be deleted! Are you sure you want to continue?
Все выделенные телепрограммы будут удалены! Согласны?;All selected TV programs/breaks will be deleted! Are you sure you want to continue?
Все выбранные кассеты уже отправлены;All the selected reels are already sent
Все настройки системы будут установлены в значения по умолчанию. Продолжать?;All the system settings will be asigned by default. Do you want to continue?
Все телепрограммы будут удалены в этом дне! Согласны?;All TV programs from this day will be deleted! Are you sure you want to continue?
в блоке уже есть! Добавить еще раз?;already exists in the block! Would you like to add another one?
а также положение передачи будет изменено;also the position of the program will be changed
Всего:;Altogether:
анонс;announcement
Сейчас другой пользователь пытается править эти данные.;Another user is trying to edit the data right now
одобрение;approval
Одобрение формирования;Approval of creation
Одобрение корректировок;Approval of editing
Одобрение предмонтажной подготовки;Approval of preinstallation preparations
утверждена;approved
апр;Apr
Апрель;April
Вы действительно хотите удалить контракт?;Are you sure you want to delete the contract?
"Вы уверены, что хотите перевести в день в состояние ""%s""?";"Are you sure you want to shift the day to mode ""%s""?"
на канал;at the channel
на канале;at the channel
Внимание!;Attention!
Audio Desc;Audio Desc
авг;aug
Август;August
так как обнаружен зафиксированный объект либо конец эфирного времени;because a fixed object or an end of airtime was detected
до;before
за;beyond
Пустое значение!;Blank value!
БЛОК %d добавлен в эфирный плейлист %d;Block %d is added to the on-air playlist%d
БЛОК %s длит=%s;Block %s duration=%s
Block position;Block position
блок №;block №
Рейтинги блоков;Blocks’ ratings
Brand;Brand
Вставка;Break
вставка -;break -
Вставка добавлена.;Break added.
вставки;breaks
вставок;breaks
вставки %s возможно;breaks %s possibly
Вставки для обработки не найдены.;Breaks for the adaption were not found.
Вставки будут ужаты. Продолжить?;Breaks will be compressed. Are you sure you want to continue?
Время выхода;Broadcast time
бюджет;budget
Бюджет, NET $;Budget, NET $
по клиенту;by client
По данному %s есть размещения. Удалить?;By given %s there are placements. Do you want to delete?
по заказу;by order
периоду;by period
по СА;by SA
по продавцу;by seller
таймслоту;by timeslot
Нельзя изменить длительность;Cannot change the duration
категория;category
Category;Category
Изменение;Change
изменение GFK- названия;change of the GFK- name
переведен в состояние планирования!;changed into planning mode!
Изменения жанровой сетки не были сохранены на сервере.;Changes in the genre grid were not saved to the server
Были произведены изменения в жанровой сетке. Сохранить изменения на сервере?;Changes were made in the genre grid. Do you want to save the changes on the server?
канал;channal
Канал;Channel
Channel;Channel
Проверка закончена.;Check completed.
Проверьте правильность курсов валют;Check the accuracy of the currency rate
Проверьте правильность введенных данных;Check the accuracy of the input data
Проверьте данные;Check the data
Пожалуйста, выберите канал.;Choose a channel, please
Выберите даты!;Choose dates!
очищена;Clear
Очистить рейтинги %s;Clear ratings %s
ClientMediaPlan.xls;ClientMediaPlan.xls
У клиентов есть доступ к этому дню.;Clients have access to this day.
ClientsRealization.xls;ClientsRealization.xls
Менеджер клиента;Client’s manager
Клип;Clip
Ролик;Clip
создан ролик с номером;clip created with #
Ошибка размещения ролика:;Clip placement error:
Клип не найден;Clip was not found
Ролик с ID=;Clip with ID=
Ролик:;Clip:
ролики;clips
Ролики заказа;Clips from the order
Закрыть для размещения;Close for placement
Закрыт;Closed
Шифр;Code
колонка;column
столбцы;columns
"Ролик ""%s"" будет размещен в аукционном блоке. Удаление из аукционного блока невозможно! Продолжить?";"Commercial ""%s"" will be placed to the auction block. It is impossible to delete from the auction block! Do you want to continue?"
Общий итог:;Common total:
Компания;Company
Включено сжатие передаваемой информации;Compression of the transmitting information is activated
Компрессия:;Compression:
Подтвержден;Confirmed
Конфликты:;Conflicts:
Соединиться;Connect
Подключен к серверу;Connected to the server
Связь между клипом видео-сервера %d и клипом teleport %d;Connections between the video-server’s clip %d and the teleport’s clip %d
Условные фиксации не подтверждены.;Conventional fixes are not confirmed.
Копировать жанровую сетку;Copy the genre grid
Корректировка;Correcting
"Стоимость 30"", NET $";"Cost 30"", NET $"
"Стоимость GRP30"", NET $";"Cost GRP30"", NET $"
Создать директорию;Create a directory
Установить путь;Create path
создан;created
создан заказ с номером;created order #
Создана кассета с номером №;Created reel #
Создание;Creation
Создание передачи;Creation of a tv program
Создание вставки;Creation of commercial breaks
Date;Date
дата;date
Дата:;Date:
на дату;dated
День;Day
День(%);Day(%)
День(сек);Day(sec)
Осталось %d дней.;Days %d left.
dd.mmmm.yyyy в HH.mm.ss;dd.mmmm.yyyy in HH.mm.ss
Деактивировать;Deactivate
дек;Dec
Декабрь;December
Удалить;Delete
Удалить кассету №;Delete cassette №
Удалить регион;Delete region
Удалить диапазон адресов;Delete the range of addresses’
Удалить спонсорский анонс;Delete the sponsor’s announcement
Удалить весь факт?;Delete the whole fact?
Удален;Deleted
Детальная сетка;Detail grid
Директория %s не найдена;Directory %s is not found
Отсоединиться;Disconnect
скидка;discount
"Скидка """;"Discount """
Параметры отображения;Display settings
отображать->;display->
выводим данные;displaying data
будет отмечена как полученная?;do you want it to be marked as received?
Утвердить ТЖС?;Do you want to approve the TGG?
Вы хотите отменить подтверждение НПР заказа?;Do you want to cancel the NPP order agreement?
Вы желаете отменить подтверждение НПР-размещения в этом дне;Do you want to cancel the NPP-placement agreement in this day
Отменить?;Do you want to cancel?
Вы хотите закрыть приложение?;Do you want to close the application?
Вы хотите подтвердить НПР заказ?;Do you want to confirm the NPP order?
Продолжить?;Do you want to continue?
Удалить выход!?;Do you want to delete the broadcast!?
Вы желаете удалить категорию продукта?;Do you want to delete the product’s category?
Удалить выделенные размещения!?;Do you want to delete the selected placements!?
Вы хотите удалить выделенную запись?;Do you want to delete the selected record?
Удалить?;Do you want to delete?
Вы хотите удалить;Do you want to delete?
Загрузить сетку?;Do you want to export the grid?
Сохранить измененные данные!?;Do you want to save the changed data!?
Сохранить изменения!?;Do you want to save the changes!?
Сохранить изменения?;Do you want to save the changes?
Отправить размещение в буфер?;Do you want to send the placement to the buffer?
Хронометраж;Duration
ДЛИТЕЛЬНОСТЬ эфирного плейлиста %d=%s;Duration of the on-air playlist %d=%s
правка;edit
Редактировать...;Edit...
Работник;Employee
пустая;empty
Разрывы будут заполнены вставками;Empty spaces will be filled with breaks
Шифрование передаваемой информации - отключено;Encrypting of the transmitted information is off
Русский;English
Введите категорию!;Enter the category!
Введите привязку к передаче!;Enter the link to the program!
Введите название передачи!;Enter the name of the program!
ошибка в расчетах нельзя сдвинуть на %d (%d);Error in calculations cannot be moved %d (%d)
"превышение в %d часе по категории ""%s""";"Exceeding per %d hour by category ""%s"""
Файлы Excel (*.xls)|*.xls;Excel files (*.xls)|*.xls
существует. Продолжить?;exists. Do you want to continue?
фев;Feb
Февраль;February
Файл %s не найден;File %s was not found
Заполнить рейтинги;Fill the ratings
заполнено (%);filled (%)
Заполнение (график);Filling (diagram)
Фиксировать;Fixation
Fixation;Fixation
установлена папка;folder installed
для;for
для клиента;for the client
для ролика;for the commercial
Для периода с;For the period from
формируем данные;forming data
формируем заголовки;forming headings
найдено клипов больше одного;found more than one clip
найдено клипов больше одного ->;found more than one clip ->
добавлен фрагмент в блок %d с позицией %d;fragment added to the block %d from %d
Пт;Fri
пятница;Friday
Fringe;Fringe
из списка продуктов клиента?;from the client’s list?
из файла;from the file
"Жанровая сетка находится в "" состоянии:";"Genre grid is in "" mode:"
"Жанровая сетка: """;"Genre grid: """
Жанровые сетки |;Genre grids|
Рейтинги GFK;GFK ratings
Данный тип расчета %s не поддерживается;Given calculation type %s is not supported
Group;Group
GRP;GRP
ч:мм:сс;hh:mm:ss
час;hour
Час(%);Hour(%)
Час(сек);Hour(sec)
Файлы HTML (*.html)|*.html;HTML files (*.html)|*.html
в;in
В очереди;In queue
В блоке;In the block
В данном промежутке уже есть;In the given interval there already are
при этом будет изменено положение других вставок либо телепрограмм;in this case the position of the other breaks or TV programs will be changed
некорректная длительность;incorrect duration
Неверный пароль;Incorrect password
неправильные параметры;incorrect settings
Укажите канал, с которым заключается контракт;Indicate the channel with which the contract is concluded
Укажите продавца, с которым заключается контракт;Indicate the seller with which the contract is concluded
Информация добавлена, но невидна из-за установок фильтра;Information has been added, but is unseen due to the filter settings
внутри;inner
внутри;inside
интегр.;integrated.
пересечение внутренних вставок;Intersection of inner breaks
пересечение программ;Intersection of programs
инвентарь;inventory
уже используется;is already in use
не является продавцом;Is not a seller
не является сотрудником продавца;is not the employee of the seller
невозможно добавить отбивочную вставку;it is impossible to add the separating break
Невозможно ужать вставку.;It is impossible to compress the break.
impossible create break;It is impossible to create a break
Невозможно удалить файл %s в %s;It is impossible to delete file %s in %s
Невозможно загрузить файл.;It is impossible to export the file.
Невозможно переименовать файл %s в %s;It is impossible to rename file %s into %s
Для подключения системы обязательно необходимо описать хотя-бы один сервер. Вы готовы это сделать сейчас?;It is necessary to describe at least one server to connect to the system. Do you want to do this now?
длительность вставки необходимо увеличить;it is necessary to increase the duration of the break
Возможно не открыт год.;It is possible the year is not opened.
янв;Jan
Январь;January
июл;Jul
Июль;July
июн;Jun
Июнь;June
Length;Length
меньше предыдущего;less than the previous
строка;line
линии;lines
категория связана;linked category
Сделать невидимым для клиентов;Make invisible to the clients
Сделать видимым и доступным клиентам для размещения;Make visible and accessible to the clients for arrangements
Сделать видимым для клиентов;Make visible to the clients
Менеджер;Manager
мар;mar
Март;March
Май;May
мм:сс;mm:ss
"состояние """;"mode """
Пн;Mon
понедельник;Monday
Название;Name
новая скидка;New discount
новая надбавка;new premium
Добавлен новый продукт;New product added
не;no
NO;NO
нет одобрений;no approvals
Нет разрывов в передачах за период;No breaks between programs in the period of
изменений не было;no changes made
нет подключения;No connection
Нет данных для отчёта;No data for the account
Нет данных;No data found
Не найдены заказы;No orders found
нет размещений в блоке;no placements in the block
не зарегистрировано ни одного продукта;No products have been registered
На этом листе нет нужных данных;No required data on this sheet
нет условия на период;no requirement for the period
Ответ сервера не найден. Обновите данные.;No response from the server was found. Refresh the data.
Не указан ни один день недели!;None of the days of the week was indicated!
Не идентифицировано ни одной целевой аудитории в xls-файле;None of the targeted audience is identified in the xls-file
не;not
Не все поля заполнены. Возможно, Вы пропустили код или тип.;Not all fields are filled. It is possible you missed the code or type.
не закрыт.;not closed.
Недостаточно места;Not enough space
не найден;not found
не отправлена;not sent
Ничего не найдено!;Nothing found!
При проверке обнаружены предупреждения. Продолжить?;Notifications were detected during the check. Do you want to continue?
ноя;Nov
Ноябрь;November
НПР;NPP
Объект потерян. Возможно уничтожен/изменен другим пользователем;Object lost. Possibly destroyed/changed by another user
окт;Oct
Октябрь;October
апреля;of April
августа;of August
декабря;of December
февраля;of February
января;of January
июля;of July
июня;of June
марта;of March
мая;of May
ноября;of November
октября;of October
сентября;of September
производителя;of the producer
Ok;Ok
на;on
Нельзя удалить вставку только для чтения;One cannot delete a read-only break
нельзя удалить передачу предназначенную только для чтения;One cannot delete the program intended for reading only
нельзя переместить вставку, так как некоторые окажутся за пределами передачи;One cannot transmit the break, because some will appear to be beyond the limits of the transmission
отправлять в буфер может только работник продавца;Only the staff of the seller can send to the buffer
Открыть для размещения;Open for placement
Открытое рекламное время;Opened commercial time
заказ;order
заказа;order
"Заказ находится в состоянии ""планирование"" и не размещен в реальную сетку телеканала.";"Order is in ""planning"" mode and hasn’t been placed to the actual grid of the TV channel."
Заказ №;Order №
устаревшие данные. нуждается в обновлении;outdated data. Needs update
Размещение;Placement
Размещение %s;Placement %s
Размещение невозможно;Placement is impossible
Размещение на канале;Placement on the channel
Правило размещения;Placement rule
размещений;placements
размещения;Placements
Размещения по заказу;Placements on demand
плановый SOR;planned SOR
Планирование;Planning
возможно сетка занята другим пользователем;possibly the grid is occupied by another user
Предмонтажная подготовка;Preinstallation preparations
надбавка;premium
Привелегии;Privileges
Producer;Producer
Производитель;Producer
Product;Product
Продукт;Product
факт производства;production fact
Рабочая программа на;Production program for
program;program
Передача;Program
программ;program
Программа;Program
программа -;program -
Program After;Program After
Program Before;Program Before
Программная сетка;Program grid
Programs;Programs
программы;programs
Количество размещений %d.;Quantity of placements %d.
Рейтинги;Ratings
только для чтения;reading only
Готов;Ready
Real Length;Real Length
Кассета №;Reel №
Обновить gfk-название...;Refresh gfk-name...
Только региональные блоки;Regional blocks only
Зарегистрировать кассету;Register a reel
удаление выделенных вставок;removal of the selected breaks
удаление выделенных программ;Removal of the selected programs
Удалить свободное место между телепередачами?;Remove the white space between the TV programs?
Заменить;Replace
reportCostByBudget.xls;reportCostByBudget.xls
reportCostByChannels.xls;reportCostByChannels.xls
reportCostByClientsAndAdvertisers.xls;reportCostByClientsAndAdvertisers.xls
Добавлен запрос на регистрацию нового продукта;Request added for the registry of the new product
Запрос на регистрацию продукта;Request for the product registration
Просмотр данных по кассете...;Review of data by reel...
Сб;Sat
суббота;Saturday
вторичные события;secondaries
втор.соб.;secondary event
Нет выделенного ролика;Selected clip not found
продавец;seller
Отправить кассету № %d на канал;Send reel № %d to the channel
сен;Sep
отбивочный;separating
Отбивка;Separating clip
Сентябрь;September
Перевести день в состояние;Shift the day into mode
"Объем, WGRPs 30""";"Size, WGRPs 30"""
слот %d(%s) - предупреждения: %s;slot %d(%s) - warnings: %s
Спонсорский клип уже присутствует в спонсорском анонсе. Добавить еще раз?;Sponsor’s clip is already present in the sponsor’s preview. Do you want to add it again?
Spot Position;Spot Position
Spot Type;Spot Type
Начать синхронизацию канала %s на канал %s по выбранным дням?;Start the synchronization of channel %s to channel %s by selected days?
Start Time;Start Time
Статус дня;Status of the day
Sub-Category;Sub-Category
такой клип уже присутствует;Such clip already exists
такой день в периоде уже есть;Such day in the period already exists
Такая директория;Such directory
Такой медиакод уже существует.;Such mediacode already exists.
такой продукт уже присутствует;Such product already exists
summary;summary
Summary_On_The_AirTime.xls;Summary_On_The_AirTime.xls
Вс;Sun
воскресенье;Sunday
Изменить состояние заказа на;Switch the order mode to
Целевая аудитория: ?;Target audience: ?
ТДС;TDG
Teleport Channel;Teleport Channel
ТЖС;TGG
неправильное расположение вставок после;The arrangement of breaks is incorrect after
неправильное расположение вставок до;The arrangement of breaks is incorrect before
начало времен;the beginning of time
Заполнено время блоков;The block time is filled
вставка выходит за пределы передачи;The break exceeds the program limits
категории не совпадают;the categories do not match
категория не связана;the category is not linked
Не указан канал;The channel is not indicated
не определен канал;the channel is not specified
клиент в ТДС;the client is in the TDG
клиент в ТЖС;the client is in the TGG
Клиент не определен;The client is not indicated
Клип уже размещен;The clip is already placed
клип сопоставлен;the clip is collated
не найден клип;the clip was not found
сбор одобрений;the collection of approvals
Сжатие передаваемой информации отключено;The compression of the transmitting information is off
создана связь;the connection has been established
Соединение успешно установлено;The connection is established successfully
Не установлено соединение с MS SQL;The connection with the MS SQL is not established
Стоимость рекламного времени ТДС;The cost of commercial airtime TDG
Стоимость рекламного времени ТЖС;The cost of commercial airtime TGG
Данные выходят за диапазон. Продолжить?;The data goes out of the range. Do you want to continue?
Данные были изменены пользователем;The data has been changed by the user
Данные не загружены;The data hasn’t been exported
Запись в Xls-файле скрыта.;The data in the Xls-file is hidden.
День %s должен быть в состоянии готов!;The day %s must be ready!
День не доступен для просмотра;The day is not available for viewing
День еще не открыт для просмотра;The day is not opened for viewing yet
не определен день;the day is not specified
Не выбраны дни для импорта данных;The days for the data import were not chosen
загружена детальная сетка;the detail grid has been exported
Произошло разъединение с сервером по причине %s;The disconnection with the server has occurred because of the following reason%s
Длительность ролика должна быть больше 5 секунд;The duration of the commercial should be more than 5 seconds
Длительность видеоматериала;The duration of the video material
Уже существует монтажный лист на дату;The edit decision list already exists for such date
Включено шифрование передаваемой информации;The encrypting of the transmitting information is activated
конечная граница вещания не может быть установлена в;the end bound of the broadcast cannot be placed into
конец времен;the end of time
FTP сервер не определен.;The FTP sever isn’t defined.
загружена жанровая сетка;the genre grid has been exported
Сетка заблокирована пользователем;The grid is blocked by the user
Сетка в состоянии формирования;The grid is in formation mode
Группы не соответствуют. Продолжить?;The groups are not corresponding. Do you want to continue?
Канал для импорта не выбран.;The import channel is not chosen
Введенная информация некорректна;The input date is incorrect
не указан код медиа;the media code missing
Неправильно введенный новый пароль;The new password is entered incorrectly
НПР не подтверждены.;The NPP are not confirmed.
Открытие детальной сетки;The opening of the detail grid
"Заказ находится в состоянии ""размещение"". Данное состояние не гарантирует выхода размещенных роликов в эфир!";"The order is in ""placement"" mode. Such mode does not guarantee the broadcasting of the placed clips!"
не указан заказ;the order is not defined
Снятые размещения по заказу;The order placements have been removed
Отсутствует информация для вывода!;The output information is absent!
Неверно указаны периоды.;The periods are indicted incorrectly.
В буфере содержатся размещения. Продолжить?;The placements are in the buffer. Do you want to continue?
продукт в ТДС;the product is in the TDG
продукт в ТЖС;the product is in the TGG
Неверно задано значение рейтинга;The rating value was specified incorrectly
Описание причины;The reason description
Ролик с кассетой отправлен на канал;The reel and clip were sent to the channel
Кассеты на канале;The reel is at the channel
Кассеты у продавца;The reel is at the seller
Ответ сервера не найден;The reply from the server was not found
Результат размещения заказа;The result of the order placement
Такой файл уже существует. Перезаписать!?;The same file already exists. Do you want to overwrite it!?
Выделенная вставка будет удалена! Согласны?;The selected breaks will be deleted! Are you sure you want to continue?
Нет выделенного клипа;The selected file was not found
Выделенная телепрограмма будет удалена! Согласны?;The selected TV program will be deleted! Are you sure you want to continue?
Неверный параметр выборки;The selection parameter is incorrect
Настройки вступят в силу только после перезапуска приложения.;The settings will take effect only after the restart of the application.
Большое смещение во времени. Найти более подходящую вставку?;The shift in time is too long. Would you like to find a more suitable spot?
начальная граница вещания не может быть установлена в;the start bound of the broadcast cannot be installed into
Дата начала скидки должна быть меньше даты окончания;The start date of the discount must be less than the end date
Состояние дня не допускает размещения;The condition of the day does not allow any placement
не определен шаблон;the template is not specified
ТЖС занята пользователем;The TGG is occupied by another user
Неверно задано значение времени;The time value was assigned incorrectly
не определен тип сетки. процедура LoadFromServer;the type of the grid is not specified. Procedure LoadFromServer
Новая версия программы;The update version of the program
Новая версия программы готова к установке. Рекомендуется установить. Щелкните по иконке, чтобы начать установку.;The update version of the program is ready for installation. It is recommended to install it. Click on the icon to start the installation.
Пользователь будет удален из списка. Согласны?;The user will be deleted from the list. Do you want to continue?
не получается добавить программу;There are troubles adding the program
Нет доступа к параметрам клиента;There is no access to the customer’s profile
Нет доступа для просмотра канала;There is no access to view the channel
Нет прав для просмотра размещений канала;There’s no access to view the channel’s placements
Нет доступа для просмотра видео-продуктов;There’s no access to view the video-products
Нет доступа для работы с заказами для клиента;There’s no access to work with the client’s orders
Нет доступа для работы с роликами;There’s no access to work with the clips
Нет соединения с сервером для импорта;There’s no connection with the server for import
Нет смысла искать пустую строку!;There’s no point looking for a blank line!
Нет возможности для размещения;There’s no possibility of placement
недостаточно места в блоке;There’s not enough free space in the block
Это размещение из другого заказа! Вы действительно хотите его удалить?;This placement is from another order! Are you sure you want to delete it?
Эта запись уже сопоставлена;This record has already been matched
Чт;Thu
четверг;Thursday
время;time
время выходит за рамки вещания канала;time exceeds the broadcast limits of the channel
Значение времени;Time value
TO;TO
для копирования вставок необходимо выделить программу;To copy breaks it is necessary to select the program
Для восстановления изменений обратитесь к разработчикам. (код-;To restore the changes address to the developers. (code-
к клипу;to the clip
итого;total
tpChannel;tpChannel
Трасса;Trace
Вт;Tue
вторник;Tuesday
Выключить;Turn off
Включить;Turn on
телепрограммы %s возможно;TV programs %s possibly
Рейтинги передач;TV programs’ ratings
Type Spot;Type Spot
неизвестный тип сетки;type unknown
Разблокировать;Unblock
неизвестно;unknown
Происходит скачивание новой версии программы с Web-сервера -;Update version of the program is being exported from the Web-server -
Обнаружена новая версия программы -;Update version of the program was found -
Обнаружена новая версия программы. Щелкните по иконке, чтобы получить больше информации...;Update version of the program was found. Click on the icon to get more information...
пользователь;user
Пользователь %s не зарегистрирован на видео сервере;User %s isn’t registered on the video-server
версии;releases
просмотр (перевести сетку в режим формирования);view (shift the grid to formation mode)
вид->;view->
Ср;Wed
среда;Wednesday
Wgrp;Wgrp
будет очищена. Продолжить?;will be deleted Do you want to continue?
будет удалён из списка роликов кассеты!;will be deleted from the list of clips from the reel!
будет удалено!;will be deleted!
будет удалён!;will be deleted!
будет удалён! Продолжить?;will be deleted! Are you sure you want to continue?
будет перемещен в другой блок. Продолжить?;will be moved to another block. Do you want to continue?
будет принята из производства;will be received from production
С;With
С помощью этого мастера Вы сможете добавить нового менеджера клиента;With this wizard you can add a new client’s manager
С помощью этого мастера Вы сможете добавить нового менеджера;With this wizard you can add a new manager
С помощью этого мастера Вы сможете зарегистрировать работника из списка пользователей;With this wizard you can register the employees from the user list
Изменить условия фильтра?;Would you like to change the filter settings?
Вы желаете подтвердить НПР-размещения в этом дне;Would you like to confirm the NPP-placement in this day
Сохранить неподтвержденные изменения?;Would you like to save the unconfirmed changes?
Перенести все изменения на сервер?;Would you like to transfer all the changes to the server?
Файлы XLS (*.xml)|*.xml;XLS files (*.xml)|*.xml
Вы выбрали;You chose  - you selected
вы дропнули файл;you dropped the file
Вы лишили пользователя всех прав, и он будет удален из списка. Согласны?;You have divested the user of all his rights, he will be deleted from the list. Are you sure you want to continue?
Нет доступа для правки каталога;You have no permission to edit the catalog
Нет прав для размещения во вставке;You have no permission to place into the break
Нет прав для создания заказа;You have no rights to create an order
У вас установлена самая свежая версия продукта. Обновлений на данный момент - нет;You have the most fresh version of the program installed. There are no updates at the moment
Вы должны выбрать ролик!;You have to select a clip!
Ваше одобрение принято.;Your approval is accepted.
